openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
20220311210000,39894.08000000,39960.04000000,39844.03000000,39885.95000000,187.66103000,20220311210059,7488775.59325170,2417,114.89275000,4584510.51431980,0
20220311210100,39885.95000000,39918.36000000,39875.77000000,39916.00000000,57.18992000,20220311210159,2282188.17069490,1390,22.66379000,904360.90537670,0
20220311210200,39915.99000000,40092.72000000,39900.39000000,40006.22000000,349.50508000,20220311210259,13973211.66562040,3613,259.31017000,10363408.17794010,0
20220311210300,40006.23000000,40006.23000000,39950.12000000,39995.84000000,89.25280000,20220311210359,3568726.23947220,1777,32.25837000,1289744.42848520,0
20220311210400,39995.84000000,40000.00000000,39889.70000000,39923.00000000,121.55570000,20220311210459,4856429.69888870,2068,44.00684000,1758066.48553280,0
20220311210500,39923.00000000,39925.97000000,39850.36000000,39874.98000000,43.51699000,20220311210559,1735617.71520030,1198,16.47595000,657089.17604750,0
20220311210600,39874.97000000,39924.51000000,39811.51000000,39924.09000000,87.00785000,20220311210659,3468013.61504140,1626,36.66947000,1461709.17232480,0
20220311210700,39924.10000000,39992.92000000,39887.98000000,39992.91000000,56.15858000,20220311210759,2242624.09856540,1399,27.87918000,1113316.82598570,0
20220311210800,39992.92000000,40000.00000000,39976.00000000,39999.99000000,88.41402000,20220311210859,3536156.30750340,1094,64.49191000,2579440.63017590,0
20220311210900,39999.99000000,40171.97000000,39996.44000000,40111.54000000,274.61681000,20220311210959,11009559.95450520,3945,182.00309000,7293800.71688570,0
20220311211000,40111.55000000,40129.24000000,39997.95000000,40005.26000000,149.21351000,20220311211059,5977324.25511120,2326,71.29699000,2856955.73284260,0
20220311211100,40005.27000000,40047.67000000,39987.35000000,39994.02000000,64.01489000,20220311211159,2561743.08021860,1275,30.83836000,1234053.93010890,0
20220311211200,39994.01000000,40003.62000000,39918.31000000,39958.77000000,59.38094000,20220311211259,2373362.59843270,1340,28.63938000,1144846.35190190,0
20220311211300,39958.77000000,40032.36000000,39947.01000000,39952.47000000,96.31773000,20220311211359,3852178.26865480,1632,58.68459000,2347580.32359770,0
20220311211400,39952.48000000,39988.03000000,39942.25000000,39952.43000000,42.46354000,20220311211459,1696747.73966260,1075,21.36422000,853661.05964500,0
20220311211500,39952.43000000,39997.99000000,39926.31000000,39926.32000000,49.24913000,20220311211559,1967783.83947340,1129,29.25283000,1168756.34806660,0
