openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
1649757540000,40244.02000000,40244.02000000,40211.82000000,40212.26000000,17.58826000,1649757599999,707423.24602290,679,8.65981000,348281.11858170,0
1649757600000,40212.25000000,40222.35000000,40205.06000000,40222.35000000,15.84081000,1649757659999,637015.31295310,662,10.09546000,405978.34995660,0
1649757660000,40222.35000000,40225.44000000,40222.34000000,40225.43000000,14.73552000,1649757719999,592723.84067650,517,9.29628000,373935.68392930,0
1649757720000,40225.44000000,40245.00000000,40225.43000000,40244.99000000,12.10230000,1649757779999,486939.22159670,507,8.16210000,328410.31933480,0
1649757780000,40244.99000000,40245.00000000,40216.74000000,40221.74000000,34.00800000,1649757839999,1368197.90837200,718,10.71292000,430975.54911310,0
1649757840000,40221.74000000,40221.75000000,40215.48000000,40215.49000000,13.50090000,1649757899999,542961.04494290,491,5.76903000,232015.23542960,0
1649757900000,40215.48000000,40215.49000000,40164.93000000,40177.99000000,27.73914000,1649757959999,1114838.71816740,775,11.70311000,470296.18401060,0
1649757960000,40177.98000000,40177.99000000,40150.00000000,40161.77000000,30.12185000,1649758019999,1209844.62292530,586,7.68640000,308753.55789320,0
1649758020000,40161.76000000,40166.79000000,40161.24000000,40161.25000000,19.23431000,1649758079999,772538.07251880,484,7.34974000,295192.91330350,0
1649758080000,40161.25000000,40189.17000000,40161.24000000,40189.16000000,12.70093000,1649758139999,510238.49649530,533,9.96979000,400507.70626360,0
1649758140000,40189.17000000,40189.17000000,40160.00000000,40174.33000000,23.32816000,1649758199999,937203.36175690,663,9.19723000,369456.54458670,0
1649758200000,40174.32000000,40177.15000000,40144.72000000,40154.37000000,66.23256000,1649758259999,2660035.15586840,937,16.05659000,644807.91088460,0
1649758260000,40154.37000000,40169.83000000,40154.36000000,40157.00000000,19.49968000,1649758319999,783214.10781840,637,10.48451000,421113.11221650,0
1649758320000,40156.99000000,40162.32000000,40155.03000000,40162.26000000,12.11136000,1649758379999,486365.23961230,465,5.93900000,238498.46810740,0
1649758380000,40162.27000000,40184.40000000,40162.26000000,40182.52000000,13.34566000,1649758439999,536144.14076340,482,7.59479000,305092.53102030,0
1649758440000,40182.51000000,40185.72000000,40162.21000000,40169.12000000,32.11179000,1649758499999,1290142.85852070,631,15.69193000,630474.37168490,0
1649758500000,40169.12000000,40180.50000000,40162.21000000,40163.93000000,20.50684000,1649758559999,823774.60881640,578,11.59518000,465768.37079770,0
1649758560000,40163.92000000,40168.77000000,40150.00000000,40150.00000000,21.06541000,1649758619999,845947.97097910,630,5.77912000,232087.08537190,0
1649758620000,40150.00000000,40150.01000000,40142.56000000,40142.81000000,14.25523000,1649758679999,572289.57932990,506,5.61556000,225439.65073760,0
1649758680000,40142.82000000,40142.82000000,40100.52000000,40114.38000000,76.93350000,1649758739999,3086380.73477770,1104,25.17700000,1009900.95644930,0
1649758740000,40114.38000000,40131.46000000,40113.39000000,40131.46000000,27.56820000,1649758799999,1105985.91630240,606,20.68845000,829952.40708450,0
1649758800000,40131.46000000,40147.97000000,40129.07000000,40147.97000000,17.88781000,1649758859999,717951.28587930,564,9.93928000,398931.63008730,0
1649758860000,40147.96000000,40150.00000000,40133.98000000,40140.75000000,20.67294000,1649758919999,829890.66496350,513,6.69288000,268670.41448720,0
1649758920000,40140.75000000,40149.99000000,40126.80000000,40126.81000000,25.15122000,1649758979999,1009638.31464090,548,8.45857000,339551.90827370,0
1649758980000,40126.81000000,40126.84000000,40111.19000000,40125.04000000,29.38916000,1649759039999,1179217.79476070,525,21.51488000,863265.23977700,0
1649759040000,40125.03000000,40126.98000000,40111.20000000,40126.97000000,33.44250000,1649759099999,1341713.83798760,838,11.19400000,449084.32214090,0
1649759100000,40126.98000000,40126.98000000,40110.01000000,40110.44000000,19.46294000,1649759159999,780754.84384390,556,5.89098000,236319.26720980,0
1649759160000,40110.43000000,40110.44000000,40094.66000000,40094.66000000,25.64101000,1649759219999,1028373.47535190,677,6.35196000,254759.49845550,0
1649759220000,40094.66000000,40130.00000000,40094.66000000,40124.05000000,14.26442000,1649759279999,572155.20084240,645,8.41988000,337729.61690210,0
1649759280000,40124.04000000,40124.05000000,40114.05000000,40121.96000000,12.25710000,1649759339999,491757.87802580,574,5.61218000,225152.11677110,0
1649759340000,40121.96000000,40130.00000000,40121.96000000,40129.06000000,7.81416000,1649759399999,313555.64227580,618,3.44143000,138089.12115990,0
1649759400000,40129.07000000,40136.44000000,40129.06000000,40136.44000000,6.89406000,1649759459999,276664.75739170,524,3.67829000,147610.39024040,0
1649759460000,40136.44000000,40155.96000000,40134.38000000,40155.95000000,7.72240000,1649759519999,310006.66500710,539,4.91676000,197385.67119180,0
1649759520000,40155.95000000,40162.76000000,40132.82000000,40140.86000000,20.01338000,1649759579999,803520.62037440,664,6.06453000,243460.62961980,0
1649759580000,40140.87000000,40180.00000000,40140.86000000,40180.00000000,15.30306000,1649759639999,614424.65912550,798,11.63989000,467353.25702800,0
1649759640000,40179.99000000,40180.00000000,40178.00000000,40179.00000000,9.28031000,1649759699999,372873.79255500,462,4.10671000,165001.39721770,0
1649759700000,40178.99000000,40213.74000000,40178.99000000,40208.91000000,22.16623000,1649759759999,891177.78293590,776,9.92894000,399145.06059530,0
1649759760000,40208.91000000,40236.23000000,40208.90000000,40236.22000000,30.00344000,1649759819999,1206911.50661010,634,17.41333000,700431.45672240,0
1649759820000,40236.23000000,40236.23000000,40201.88000000,40201.88000000,33.53700000,1649759879999,1348723.55828540,668,12.47132000,501488.30643830,0
1649759880000,40201.88000000,40216.18000000,40201.88000000,40216.17000000,7.58107000,1649759939999,304807.95571810,494,4.96216000,199512.87245990,0
1649759940000,40216.17000000,40273.24000000,40216.17000000,40247.93000000,110.35745000,1649759999999,4442477.54331220,1162,48.12880000,1937014.03063670,0
1649760000000,40247.94000000,40247.94000000,40231.64000000,40238.99000000,16.68463000,1649760059999,671387.79262650,547,8.43454000,339386.41288890,0
1649760060000,40238.98000000,40238.99000000,40172.72000000,40189.58000000,90.54521000,1649760119999,3639845.29981140,1090,29.44205000,1183221.26170810,0
1649760120000,40189.58000000,40204.32000000,40189.57000000,40193.53000000,13.26864000,1649760179999,533336.31552660,508,4.87896000,196100.38086990,0
1649760180000,40193.54000000,40194.83000000,40184.90000000,40194.82000000,8.91437000,1649760239999,358281.19714190,448,3.73044000,149925.09781190,0
1649760240000,40194.83000000,40207.80000000,40194.82000000,40207.80000000,12.19765000,1649760299999,490350.13294050,483,8.23283000,330958.17474940,0
1649760300000,40207.80000000,40256.15000000,40207.79000000,40245.55000000,28.59462000,1649760359999,1150681.85320030,656,21.24140000,854723.16455100,0
1649760360000,40245.56000000,40245.56000000,40215.28000000,40215.28000000,39.34719000,1649760419999,1583304.78054650,600,2.58466000,103998.80353030,0
1649760420000,40215.29000000,40215.29000000,40200.00000000,40200.03000000,17.81831000,1649760479999,716318.20181000,616,5.40909000,217453.95279550,0
1649760480000,40200.03000000,40220.00000000,40200.03000000,40206.99000000,16.63589000,1649760539999,668946.74883870,642,8.43618000,339202.58448340,0
1649760540000,40207.00000000,40207.03000000,40206.99000000,40207.02000000,15.30727000,1649760599999,615459.39405730,358,13.14775000,528631.59128350,0
